# SOURCE: runs_dir=runs; benchmark=['overlap_ranked100_v2']; n_subgroups=42; generated=2026-07-01T17:57:43+00:00
variant,model_id,optimizer,method,gate,tau_decide_mm3,p_star,verified_ok,false_ok,coverage_n,proximity_n,mean_l2,mean_l1,mean_l0,mean_final_overlap_mm3,sim_n_success,sim_baseline_mean_LD,sim_final_mean_LD,sim_mean_dLD,sim_median_dLD,sim_mean_dCD0,sim_mean_dCD,sim_final_vlm_ok_rate,n_starts,benchmark_id,run_id
e,raw_log_huber_100k,full_coordinate_grid_refine,Full coordinate grid + refine,reg,0.5,,66,22,100,66,0.17330789623812884,0.17330789623812884,1.0,36534.50896046686,53,804.6332188268307,15.055013146041738,-789.5782056807881,-0.02096658660654782,-5.564203139979249e-06,-0.03493350730561872,1.0,100,overlap_ranked100_v2,model_e_raw_log_huber_featgrad_raw__full_coordinate_grid_refine__raw_log_huber_100k
e,raw_log_huber_100k,full_coordinate_grid_refine,Full coordinate grid + refine,reg,0.1,,82,6,100,82,0.2029301695342535,0.2029301695342535,1.0,36028.30073632091,53,804.6332188268307,15.055013146041738,-789.5782056807881,-0.02096658660654782,-5.564203139979249e-06,-0.03493350730561872,1.0,100,overlap_ranked100_v2,model_e_raw_log_huber_featgrad_raw__full_coordinate_grid_refine__raw_log_huber_100k
e,raw_log_huber_100k,full_coordinate_grid_refine,Full coordinate grid + refine,reg,0.01,,84,4,100,84,0.21405342860658477,0.21405342860658477,1.0,35963.02245497504,53,804.6332188268307,15.055013146041738,-789.5782056807881,-0.02096658660654782,-5.564203139979249e-06,-0.03493350730561872,1.0,100,overlap_ranked100_v2,model_e_raw_log_huber_featgrad_raw__full_coordinate_grid_refine__raw_log_huber_100k
e,raw_log_huber_100k,one_shot_gradient_line_search,One-shot gradient line search,reg,1.0,,83,17,100,83,0.22648821702856334,0.47387057724169884,5.0,242.4907746119564,83,512.382551162088,13.606816264230803,-498.77573489785715,0.10042090986518204,-0.0004023539971119741,-675.4287694537911,1.0,100,overlap_ranked100_v2,model_e_raw_log_huber_featgrad_raw__one_shot_gradient_line_search__raw_log_huber_100k
e,raw_log_huber_100k,one_shot_gradient_line_search,One-shot gradient line search,reg,0.5,,88,12,100,88,0.22380878630872036,0.4685795594209345,5.0,233.7348423505732,83,512.382551162088,13.606816264230803,-498.77573489785715,0.10042090986518204,-0.0004023539971119741,-675.4287694537911,1.0,100,overlap_ranked100_v2,model_e_raw_log_huber_featgrad_raw__one_shot_gradient_line_search__raw_log_huber_100k
e,raw_log_huber_100k,one_shot_gradient_line_search,One-shot gradient line search,reg,0.1,,99,1,100,99,0.2843148108349981,0.5976840357775792,5.0,0.25119135318292857,83,512.382551162088,13.606816264230803,-498.77573489785715,0.10042090986518204,-0.0004023539971119741,-675.4287694537911,1.0,100,overlap_ranked100_v2,model_e_raw_log_huber_featgrad_raw__one_shot_gradient_line_search__raw_log_huber_100k
e,raw_log_huber_100k,one_shot_gradient_line_search,One-shot gradient line search,reg,0.01,,99,1,100,99,0.3847052190231828,0.8085514812043652,5.0,0.25119135318292857,83,512.382551162088,13.606816264230803,-498.77573489785715,0.10042090986518204,-0.0004023539971119741,-675.4287694537911,1.0,100,overlap_ranked100_v2,model_e_raw_log_huber_featgrad_raw__one_shot_gradient_line_search__raw_log_huber_100k
e,raw_log_huber_100k,receding_multistep_gradient,Receding-horizon multistep gradient,reg,1.0,,88,12,100,88,0.3400414635406295,0.7285085092655592,5.363636363636363,213.77849672469117,88,483.8645080140149,15.516250008273774,-468.3482580057414,0.226515451965283,-0.0009861920124737702,-637.0484416966906,1.0,100,overlap_ranked100_v2,model_e_raw_log_huber_featgrad_raw__receding_multistep_gradient__raw_log_huber_100k
e,raw_log_huber_100k,receding_multistep_gradient,Receding-horizon multistep gradient,reg,0.5,,92,8,100,92,0.34232373334499266,0.732448514108115,5.3478260869565215,213.6702587337162,88,483.8645080140149,15.516250008273774,-468.3482580057414,0.226515451965283,-0.0009861920124737702,-637.0484416966906,1.0,100,overlap_ranked100_v2,model_e_raw_log_huber_featgrad_raw__receding_multistep_gradient__raw_log_huber_100k
e,raw_log_huber_100k,receding_multistep_gradient,Receding-horizon multistep gradient,reg,0.1,,100,0,100,100,0.34632199637607736,0.7511826245253872,5.52,0.0,88,483.8645080140149,15.516250008273774,-468.3482580057414,0.226515451965283,-0.0009861920124737702,-637.0484416966906,1.0,100,overlap_ranked100_v2,model_e_raw_log_huber_featgrad_raw__receding_multistep_gradient__raw_log_huber_100k
e,raw_log_huber_100k,receding_multistep_gradient,Receding-horizon multistep gradient,reg,0.01,,100,0,100,100,0.3654049534917395,0.8107307147389313,5.87,0.0,88,483.8645080140149,15.516250008273774,-468.3482580057414,0.226515451965283,-0.0009861920124737702,-637.0484416966906,1.0,100,overlap_ranked100_v2,model_e_raw_log_huber_featgrad_raw__receding_multistep_gradient__raw_log_huber_100k
e,raw_log_huber_100k,receding_multistep_penalty,Receding-horizon multistep (distance-penalized),reg,1.0,,87,13,100,87,0.29925454228550763,0.6607310338997351,6.275862068965517,213.8295832968619,87,489.2415940249103,15.356922020423577,-473.8846720044865,0.22287384965540546,-0.000977969170801385,-644.3711462789748,1.0,100,overlap_ranked100_v2,model_e_raw_log_huber_featgrad_raw__receding_multistep_penalty__raw_log_huber_100k
