accuracy,balanced_accuracy,base_size,brier,macro_f1,mcc,precision_blocked,recall_assemblable,recall_blocked,roc_auc,round_idx,row,seed_split,status,total_labels,train_pos_rate,wall_s
0.985,0.9730254646742,0,0.011503361472737686,0.9622063851858705,0.924814191824487,0.9092495636998255,0.9883303411131059,0.9577205882352942,0.9981568143415355,5,row1_uncertainty_disagreement,8,ok,1250,0.8912,1.3929332089610398
0.9912,0.9853799239624036,0,0.007835820388394444,0.9776702702790485,0.9555392372506104,0.9432624113475178,0.992818671454219,0.9779411764705882,0.9993399514204245,6,row1_uncertainty_disagreement,8,ok,1500,0.8912,1.4320970420958474
0.9922,0.9891686028091669,0,0.006139174424959503,0.9802545222460146,0.9607717297004736,0.9453262786596119,0.9930430879712747,0.9852941176470589,0.9996831766818038,7,row1_uncertainty_disagreement,8,ok,1750,0.8912,2.4440253330394626
0.9902,0.9912741577780124,0,0.008038900291425701,0.9755375718434057,0.9518810245500736,0.9230769230769231,0.9899012567324955,0.9926470588235294,0.9993473769669448,8,row1_uncertainty_disagreement,8,ok,2000,0.8912,3.8439279169542715
0.9948,0.9962756758897455,0,0.004533518119912098,0.9868467062533592,0.9739821156404314,0.9559859154929577,0.9943895870736086,0.9981617647058824,0.9999014052434259,9,row1_uncertainty_disagreement,8,ok,2250,0.8912,3.1365672909887508
0.9928,0.9951535933044673,0,0.00413089078502029,0.9819297355838442,0.9644254965486241,0.9394463667820069,0.9921454219030521,0.9981617647058824,0.9999228568222621,10,row1_uncertainty_disagreement,8,ok,2500,0.8912,4.2288100000005215
0.9962,0.9954473149223784,0,0.003636329205479389,0.9903039447941318,0.9806945492643316,0.9712746858168761,0.9964093357271095,0.9944852941176471,0.9998679902840849,11,row1_uncertainty_disagreement,8,ok,2750,0.8912,6.089514084043913
0.9968,0.9949770303094307,0,0.0027957455505166653,0.9918022573304215,0.9836376740005612,0.9782608695652174,0.9973070017953322,0.9926470588235294,0.9999150187453797,12,row1_uncertainty_disagreement,8,ok,3000,0.8912,4.197319708997384
0.9956,0.9918830525926708,0,0.003093537241418943,0.9887281038293296,0.9774892007212642,0.9728260869565217,0.9966337522441652,0.9871323529411765,0.999892742105819,13,row1_uncertainty_disagreement,8,ok,3250,0.8912,3.7125917499652132
0.9956,0.9870415962614849,0,0.003463555300434878,0.9886186614221459,0.9772457299498706,0.9833333333333333,0.9979802513464991,0.9761029411764706,0.9998238495353258,14,row1_uncertainty_disagreement,8,ok,3500,0.8912,3.953414332936518
0.8936,0.9152910154187348,1000,0.07567869300775444,0.797759171621567,0.6432309714129312,0.5059171597633136,0.8875673249551167,0.9430147058823529,0.9725172272679269,0,row1_uncertainty_disagreement,1,ok,1000,0.8912,0.381977541022934
0.9482,0.9547998732706727,1000,0.03633346373851964,0.8860210895310063,0.7876456351014276,0.6867627785058977,0.9463644524236984,0.9632352941176471,0.9919230680378076,1,row1_uncertainty_disagreement,1,ok,1250,0.8912,1.2355595419649035
0.97,0.9750996673355159,1000,0.021742158182369135,0.9298834494650388,0.8663902516562983,0.7922848664688428,0.9685816876122083,0.9816176470588235,0.9965784731756258,2,row1_uncertainty_disagreement,1,ok,1500,0.8912,1.8354076659306884
0.9824,0.9828634887527722,1000,0.01356795304066539,0.957027204514175,0.9162371677803864,0.8713355048859935,0.9822710951526032,0.9834558823529411,0.9983152260006336,3,row1_uncertainty_disagreement,1,ok,1750,0.8912,2.365144082927145
0.9848,0.9858238066321682,1000,0.011940851774974453,0.962662736428396,0.9270741908645274,0.8861386138613861,0.9845152603231598,0.9871323529411765,0.9988024243584328,4,row1_uncertainty_disagreement,1,ok,2000,0.8912,2.26534233300481
0.9814,0.9831093568486641,1000,0.01229389390265962,0.9548226790151344,0.9122507159593964,0.8631239935587761,0.9809245960502693,0.9852941176470589,0.9990185902682437,5,row1_uncertainty_disagreement,1,ok,2250,0.8912,2.59857545804698
